method,generation,individual_id,fitness,total_time,near_collisions,mean_congestion,peak_congestion,mean_high_time,mean_low_time,fairness_gap_time,all_evacuated,remaining_agents,layout,num_high,num_low,seed_list,params,per_seed_fitnesses,per_seed_total_times
ga,0,5,1391.855761904762,50.0,26.666666666666668,5.342666666666666,8.333333333333334,2.054365079365079,1.3250000000000002,0.9232142857142858,False,33.333333333333336,standard,30,10,"[11, 29, 47]","[1.0032561383995509, 0.5223423751403484, 2.408552821563258, 2.3206083204581542, 4.601142409690362, 1.438301008603196]","[1379.450857142857, 1496.542, 1397.728]","[50.0, 50.0, 50.0]"
ga,1,0,24.40963473239546,13.566666666666668,47.333333333333336,1.5163013990621248,5.0,2.4433333333333334,5.923333333333335,3.4800000000000004,True,0.0,standard,30,10,"[11, 29, 47]","[2.0, 1.0, 0.5, 2.0, 0.5, 1.0]","[26.651666666666664, 21.845464480874316, 24.731773049645394]","[14.4, 12.200000000000001, 14.100000000000001]"
ga,1,1,24.42208161767019,14.200000000000001,32.333333333333336,0.8209705065590781,3.6666666666666665,1.7611111111111113,5.653333333333333,3.8922222222222227,True,0.0,standard,30,10,"[11, 29, 47]","[4.015713130238407, 1.2772475552790712, 1.2346225616036308, 0.9147599831018614, 2.53916594563919, 1.37408696092298]","[23.38756690997567, 23.264356955380578, 26.61432098765432]","[13.700000000000001, 12.700000000000001, 16.2]"
ga,1,2,25.22096208169971,14.533333333333333,21.666666666666668,1.5798509705886,5.666666666666667,2.354444444444445,6.366666666666667,4.012222222222223,True,0.0,standard,30,10,"[11, 29, 47]","[4.091753521355571, 0.9263364048642375, 1.2698667387600495, 2.283767892163701, 0.6510913140595375, 0.9226899416304505]","[26.215525114155255, 23.89085106382979, 25.556510067114097]","[14.600000000000001, 14.100000000000001, 14.9]"
ga,1,3,35.88245643465609,24.5,17.666666666666668,0.9324564346560896,5.0,3.7566666666666664,8.540000000000001,4.783333333333334,True,0.0,standard,30,10,"[11, 29, 47]","[2.546381417813968, 0.9968270711243282, 3.0337911638338797, 2.3427676099717782, 2.4624639165651687, 0.9447569599727441]","[37.11430894308943, 30.370428134556573, 40.162632226322266]","[24.6, 21.8, 27.1]"
ga,1,4,20.069288490952825,11.9,25.333333333333332,0.7003996020639364,3.3333333333333335,1.8922222222222222,4.993333333333333,3.1011111111111114,True,0.0,standard,30,10,"[11, 29, 47]","[3.2171794150239053, 1.2710828760623585, 0.8898268833089991, 1.5914705139969003, 1.0768362778694134, 1.2112371505833595]","[21.027317073170735, 18.228690476190476, 20.951857923497272]","[12.3, 11.200000000000001, 12.200000000000001]"
ga,1,5,1081.0870793650795,50.0,42.0,1.4186666666666667,5.0,2.395555555555555,4.5130952380952385,2.117539682539683,False,2.3333333333333335,standard,30,10,"[11, 29, 47]","[2.7985337152145013, 1.0061646792167127, 0.8447956782946318, 1.3553752721770391, 2.125249377602265, 1.1628498103396205]","[1078.5836666666667, 1087.4285714285713, 1077.249]","[50.0, 50.0, 50.0]"
ga,2,0,20.069288490952825,11.9,25.333333333333332,0.7003996020639364,3.3333333333333335,1.8922222222222222,4.993333333333333,3.1011111111111114,True,0.0,standard,30,10,"[11, 29, 47]","[3.2171794150239053, 1.2710828760623585, 0.8898268833089991, 1.5914705139969003, 1.0768362778694134, 1.2112371505833595]","[21.027317073170735, 18.228690476190476, 20.951857923497272]","[12.3, 11.200000000000001, 12.200000000000001]"
ga,2,1,24.40963473239546,13.566666666666668,47.333333333333336,1.5163013990621248,5.0,2.4433333333333334,5.923333333333335,3.4800000000000004,True,0.0,standard,30,10,"[11, 29, 47]","[2.0, 1.0, 0.5, 2.0, 0.5, 1.0]","[26.651666666666664, 21.845464480874316, 24.731773049645394]","[14.4, 12.200000000000001, 14.100000000000001]"
ga,2,2,22.9096723398081,12.300000000000002,39.333333333333336,1.1452278953636543,4.666666666666667,1.8777777777777775,5.626666666666668,3.7488888888888887,True,0.0,standard,30,10,"[11, 29, 47]","[2.972335983381184, 1.1320978893801605, 0.5891547549771748, 1.9437559216830893, 0.7447926682138609, 1.2807276121362772]","[23.743280839895014, 21.854942528735634, 23.130793650793652]","[12.700000000000001, 11.600000000000001, 12.600000000000001]"
ga,2,3,1074.460111111111,50.0,38.666666666666664,1.054,4.0,2.5177777777777783,4.920833333333334,2.4030555555555555,False,1.6666666666666667,standard,30,10,"[11, 29, 47]","[2.244843431642721, 1.0934462856371634, 0.8006721283318241, 1.647714592313811, 1.942148703590485, 1.1792265361926055]","[1076.9083333333333, 1077.4753333333333, 1068.9966666666667]","[50.0, 50.0, 50.0]"
ga,2,4,24.618111111111112,13.966666666666667,46.666666666666664,1.4936666666666667,5.333333333333333,2.531111111111111,5.943333333333334,3.4122222222222227,True,0.0,standard,30,10,"[11, 29, 47]","[1.8746520340343285, 1.0, 0.5, 2.0, 0.5372995389936741, 1.0]","[26.85, 22.186, 24.818333333333335]","[15.0, 12.5, 14.4]"
ga,2,5,35.0078487665573,21.000000000000004,60.0,1.4078487665572972,5.333333333333333,2.4966666666666666,7.296666666666667,4.8,True,0.0,standard,30,10,"[11, 29, 47]","[2.0, 1.0, 0.5, 2.0, 1.3427458430818517, 1.0110759277066403]","[35.666089743589744, 34.44862559241706, 34.908830963665096]","[20.8, 21.1, 21.1]"
