run,run_name,ga_seed,generation,best_fitness
8,run_08,808,5,64.05600637818169
8,run_08,808,6,62.69897643021369
8,run_08,808,7,57.56405931557718
8,run_08,808,8,57.56405931557718
8,run_08,808,9,56.144833437224406
8,run_08,808,10,56.144833437224406
8,run_08,808,11,53.67683984543606
8,run_08,808,12,53.67683984543606
8,run_08,808,13,53.67683984543606
8,run_08,808,14,52.69098801494634
8,run_08,808,15,52.69098801494634
8,run_08,808,16,52.69098801494634
8,run_08,808,17,52.69098801494634
8,run_08,808,18,52.69098801494634
8,run_08,808,19,52.69098801494634
8,run_08,808,20,52.69098801494634
8,run_08,808,21,52.69098801494634
8,run_08,808,22,52.69098801494634
8,run_08,808,23,52.69098801494634
8,run_08,808,24,52.69098801494634
9,run_09,909,0,142.82459856377437
9,run_09,909,1,116.63532669485161
9,run_09,909,2,100.90388581518907
9,run_09,909,3,100.90388581518907
9,run_09,909,4,96.52907162716275
9,run_09,909,5,96.52907162716275
9,run_09,909,6,96.52907162716275
9,run_09,909,7,96.31157804669368
9,run_09,909,8,96.31157804669368
9,run_09,909,9,96.21601302578733
9,run_09,909,10,96.21197045089858
9,run_09,909,11,95.34743554934947
9,run_09,909,12,94.2635461502227
9,run_09,909,13,94.2635461502227
9,run_09,909,14,93.36377203360234
9,run_09,909,15,92.9458582092941
9,run_09,909,16,92.19468878507945
9,run_09,909,17,92.12953933065762
9,run_09,909,18,91.86268317656783
9,run_09,909,19,91.25515476342446
9,run_09,909,20,91.25515476342446
9,run_09,909,21,91.25515476342446
9,run_09,909,22,91.06569648869856
9,run_09,909,23,91.06569648869856
9,run_09,909,24,91.06569648869856
10,run_10,1001,0,82.47603523363966
10,run_10,1001,1,67.56045494193756
10,run_10,1001,2,60.8588700923508
10,run_10,1001,3,58.64211633258825
10,run_10,1001,4,58.64211633258825
10,run_10,1001,5,56.28272542458707
10,run_10,1001,6,56.28272542458707
10,run_10,1001,7,56.28272542458707
10,run_10,1001,8,56.156211556292895
10,run_10,1001,9,56.07804375969276
10,run_10,1001,10,55.284262205567714
10,run_10,1001,11,55.183188718850616
10,run_10,1001,12,54.819438157925696
10,run_10,1001,13,54.819438157925696
10,run_10,1001,14,54.819438157925696
10,run_10,1001,15,54.819438157925696
10,run_10,1001,16,54.819438157925696
10,run_10,1001,17,54.819438157925696
10,run_10,1001,18,54.63652783296213
10,run_10,1001,19,54.20324779900001
10,run_10,1001,20,54.20324779900001
10,run_10,1001,21,54.20324779900001
10,run_10,1001,22,54.20324779900001
10,run_10,1001,23,54.20324779900001
10,run_10,1001,24,54.20324779900001
